slug,course_name,wikipedia_url,image_url,author,license,date_sourced,status
cabot-cliffs,Cabot Cliffs,https://cabot.com/,,,,2026-04-30,icon_rejected
cabot-links,Cabot Links,https://cabot.com/,,,,2026-04-30,icon_rejected
st-georges-canada,St. George's Golf and Country Club,https://stgeorgescc.com/,https://stgeorgescc.com/favicon.ico,,Trademark of St. George's Golf and Country Club,2026-04-30,favicon_scraped
hamilton-gcc,Hamilton Golf and Country Club,https://hamiltongc.com/,https://hamiltongc.com/wp-content/uploads/2024/08/cropped-Black-and-White-HC-with-red-with-larger-background--180x180.png,,Trademark of Hamilton Golf and Country Club,2026-04-30,favicon_scraped
hirono,Hirono Golf Club,,,,,2026-04-30,no_website_found
kawana-fuji,Kawana Hotel (Fuji),,,,,2026-04-30,no_website_found
tokyo-gc,Tokyo Golf Club,,,,,2026-04-30,no_website_found
chambers-bay,Chambers Bay,https://chambersbaygolf.com/,https://chambersbaygolf.com/wp-content/uploads/2025/03/cropped-chambers-bay-icon-square-180x180.png,,Trademark of Chambers Bay,2026-04-30,favicon_scraped
black-mesa,Black Mesa Golf Club,,,,,2026-04-30,no_website_found
wolf-creek,Wolf Creek Golf Club,,,,,2026-04-30,no_website_found
old-sandwich,Old Sandwich Golf Club,,,,,2026-04-30,no_website_found
quail-hollow,Quail Hollow Club,https://www.quailhollow.com/,http://static1.squarespace.com/static/6997a0ed2cc95262e5c771f0/t/69e6bc79922abc16934946ef/1776729209064/e31a34ce-d3d7-4306-bb53-aa9cbebb16e6.png?format=1500w,,Trademark of Quail Hollow Club,2026-04-30,favicon_scraped
wild-horse,Wild Horse Golf Club,,,,,2026-04-30,no_website_found
yeamans-hall,Yeamans Hall Club,,,,,2026-04-30,no_website_found
camargo-club,The Camargo Club,,,,,2026-04-30,no_website_found
old-town-club,Old Town Club,,,,,2026-04-30,no_website_found
sleepy-hollow,Sleepy Hollow Country Club,,,,,2026-04-30,no_website_found
garden-city,Garden City Golf Club,https://www.gardencitygolfclub.com/,https://www.gardencitygolfclub.com/favicon.ico,,Trademark of Garden City Golf Club,2026-04-30,favicon_scraped
tpc-scottsdale,TPC Scottsdale (Stadium),https://tpc.com/scottsdale/,https://tpc.com/scottsdale/wp-content/themes/tpc-core/favicon.png,,Trademark of TPC Scottsdale (Stadium),2026-04-30,favicon_scraped
tpc-river-highlands,TPC River Highlands,https://tpc.com/riverhighlands/,https://tpc.com/riverhighlands/wp-content/themes/tpc-core/favicon.png,,Trademark of TPC River Highlands,2026-04-30,favicon_scraped
detroit-golf-club,Detroit Golf Club,https://www.detroitgolfclub.org/,https://www.detroitgolfclub.org/apple-touch-icon.png,,Trademark of Detroit Golf Club,2026-04-30,favicon_scraped
colonial,Colonial Country Club,,,,,2026-04-30,no_website_found
muirfield-village,Muirfield Village Golf Club,https://www.mvgc.org/,https://www.mvgc.org/apple-touch-icon,,Trademark of Muirfield Village Golf Club,2026-04-30,favicon_scraped
sand-valley,Sand Valley,https://www.sandvalley.com/,https://cdn.prod.website-files.com/6737a7bdc0fea540c46f4fb5/685b25734a6b422e42479fba_Webclip.jpg,,Trademark of Sand Valley,2026-04-30,favicon_scraped
mammoth-dunes,Mammoth Dunes,,,,,2026-04-30,no_website_found
sedge-valley,Sedge Valley,,,,,2026-04-30,no_website_found
forest-dunes,Forest Dunes Golf Club,https://forestdunesgolf.com/,https://forestdunesgolf.com/wp-content/smush-webp/2024/04/Favicon-300x300.png.webp,,Trademark of Forest Dunes Golf Club,2026-04-30,favicon_scraped
the-loop,The Loop at Forest Dunes,https://www.loopclub.com/,,,,2026-04-30,icon_rejected
spyglass-hill,Spyglass Hill Golf Course,,,,,2026-04-30,no_website_found
monterey-peninsula-shore,Monterey Peninsula Country Club (Shore),http://www.montereypeninsulagolf.com/Monterey-Peninsula-Country-Club-Shores-Course,,,,2026-04-30,icon_rejected
pasatiempo,Pasatiempo Golf Club,https://www.pasatiempo.com/,,,,2026-04-30,icon_rejected
congressional-blue,Congressional Country Club (Blue),https://www.ccclub.org/,https://www.ccclub.org/apple-touch-icon.png,,Trademark of Congressional Country Club (Blue),2026-04-30,favicon_scraped
plainfield,Plainfield Country Club,https://www.plainfieldcc.com/,,,,2026-04-30,icon_rejected
southern-hills,Southern Hills Country Club,https://www.southernhillscc.com/,https://www.southernhillscc.com/apple-touch-icon.png,,Trademark of Southern Hills Country Club,2026-04-30,favicon_scraped
firestone-south,Firestone Country Club (South),https://www.invitedclubs.com/clubs/firestone-country-club,,,,2026-04-30,icon_rejected
tpc-southwind,TPC Southwind,,,,,2026-04-30,no_website_found
austin-cc,Austin Country Club,https://austin.com/,https://austin.com/wp-content/themes/austin/src/assets/img/favicon/apple-touch-icon.png,,Trademark of Austin Country Club,2026-04-30,favicon_scraped
wolf-point,Wolf Point Club,https://wolf-point.com/,https://wolf-point.com/wp-content/uploads/2025/09/icon-300x300.png,,Trademark of Wolf Point Club,2026-04-30,favicon_scraped
ohoopee-match,Ohoopee Match Club,,,,,2026-04-30,no_website_found
gozzer-ranch,Gozzer Ranch Golf and Lake Club,https://www.gozzerranchclub.com/,https://www.gozzerranchclub.com/images/Gozzer-favicon.png,,Trademark of Gozzer Ranch Golf and Lake Club,2026-04-30,favicon_scraped
congaree,Congaree Golf Club,,,,,2026-04-30,no_website_found
royal-porthcawl,Royal Porthcawl Golf Club,https://www.royalporthcawl.com/,,,,2026-04-30,icon_rejected
royal-ashdown-forest,Royal Ashdown Forest Golf Club,,,,,2026-04-30,no_website_found
rye,Rye Golf Club,,,,,2026-04-30,no_website_found
st-georges-hill,St George's Hill Golf Club,,,,,2026-04-30,no_website_found
royal-cinque-ports,Royal Cinque Ports Golf Club,https://www.royalcinqueports.com/,https://www.royalcinqueports.com/favicon.ico,,Trademark of Royal Cinque Ports Golf Club,2026-04-30,favicon_scraped
