SLUG	COURSE NAME	HAVE LOGO?
county-sligo	County Sligo Golf Club	YES
enniscrone	Enniscrone Golf Club	YES
royal-portrush-valley	Royal Portrush Golf Club (Valley)	YES
falsterbo	Falsterbo Golfklubb	NO
halmstad	Halmstad Golfklubb (North)	YES
sotogrande	Real Club de Golf Sotogrande	YES
la-reserva-sotogrande	La Reserva Club de Sotogrande	YES
real-san-sebastian	Real Golf Club de San Sebastian	NO
le-touquet-la-mer	Le Touquet Golf Resort (La Mer)	NO
domaine-de-belesbat	Golf de Belesbat	NO
fontainebleau	Golf de Fontainebleau	NO
club-zur-vahr	Club zur Vahr (Garlstedter Heide)	NO
pevero	Pevero Golf Club	NO
hokkaido-classic	Hokkaido Classic Golf Club	NO
naruo	Naruo Golf Club	YES
yas-links	Yas Links Abu Dhabi	NO
doha-golf-club	Doha Golf Club	NO
emirates-majlis	Emirates Golf Club (Majlis)	NO
mission-hills-shenzhen	Mission Hills (World Cup)	YES
diamante-dunes	Diamante Cabo San Lucas (Dunes)	YES
cabot-saint-lucia	Cabot Saint Lucia (Point Hardy)	NO
casa-de-campo-teeth	Casa de Campo (Teeth of the Dog)	YES
punta-espada	Punta Espada Golf Club	YES
country-club-bogota	Country Club de Bogota	NO
royal-melbourne-east	Royal Melbourne Golf Club (East)	YES
victoria-golf-club	Victoria Golf Club	YES
metropolitan-melbourne	Metropolitan Golf Club	YES
ellerston	Ellerston Golf Course	NO
te-arai-south	Te Arai Links (South)	YES
te-arai-north	Te Arai Links (North)	YES
paraparaumu-beach	Paraparaumu Beach Golf Club	YES
national-golf-club-canada	The National Golf Club of Canada	NO
highlands-links	Cape Breton Highlands Links	YES
jasper-park	Fairmont Jasper Park Lodge Golf Course	NO
banff-springs	Fairmont Banff Springs Golf Course	YES
lido	The Lido	YES
old-barnwell	Old Barnwell	YES
mcarthur	McArthur Golf Club	YES
stanwich	The Stanwich Club	NO
philadelphia-cricket	Philadelphia Cricket Club (Wissahickon)	YES
crooked-stick	Crooked Stick Golf Club	NO
liberty-national	Liberty National Golf Club	YES
yale	Yale Golf Course	YES
